"Bairds Tapir","Cacomistle","Collared Peccary","Coyote","Dices Cottontail","Mexican Hairy Porcupine","Nine-banded Armadillo","Northern Raccoon","Ocelot","Oncilla","Paca","Puma","Red Brocket Deer","Striped Hognosed Skunk","Tayra","White-nosed Coati"
"Bairds Tapir",0.898878895401146,0.533029761112949,0.345380708062878,0.717213711184348,0.669244884308854,0.332497108734476,0.495981389753508,0.658919576269777,0.450131483353679,0.69207458864614,0.60990493408977,0.607482938675158,0.605422871322556,0.514831252843007,0.279300374388689,0.231410400216706
"Cacomistle",0.531343818525026,0.68229073094272,0.148910262756058,0.619394943083918,0.57865681112538,0.365653212429745,0.426705696227233,0.581797917143826,0.57539564115397,0.447935113174196,0.425298435676035,0.371605658225885,0.352382127650803,0.400861493996998,0.11497097662556,0.0446015072273009
"Collared Peccary",0.345609691536112,0.150797003003731,0.91763834471032,0.326883068327128,0.182459218374169,0.137664220560701,0.0961572768719797,0.220012836047718,0.148272094669481,0.317946058100099,0.152255073695437,0.446017561467334,0.478914991094255,0.129299176978879,0.403208845390467,0.72184548614593
"Coyote",0.718318557559354,0.617102726804179,0.326408008694224,0.96839944031639,0.723185227177653,0.427706676821661,0.512610144197483,0.691674101578984,0.595598150679923,0.607312410776048,0.624290481365406,0.557731121810131,0.502020602280581,0.467823729885488,0.202029757956871,0.205812588465295
"Dices Cottontail",0.670183225911465,0.586669269940959,0.182231280902016,0.724155939985213,0.928005495987519,0.335290778040629,0.561159056115832,0.801371082263768,0.522267057129761,0.539789092315299,0.695950582549693,0.534041664246126,0.433781967847782,0.571888250024994,0.0851945058385112,0.0783630959746378
"Mexican Hairy Porcupine",0.335680739002539,0.368902190399551,0.137353269984276,0.426634277954615,0.337729867392875,0.777915190907619,0.20985769536874,0.359343586910603,0.478457415211129,0.284731899236788,0.249352910833958,0.252637465241139,0.183952110080788,0.173805128778252,0.0598336234566796,0.0533925621858669
"Nine-banded Armadillo",0.495302454335133,0.422505482167323,0.0943350440595704,0.517875614909413,0.567765672764699,0.209220685164839,0.735139088558482,0.457794121735412,0.393866650342352,0.424973209678347,0.653632429996761,0.311866252730862,0.313005715851276,0.575380357598549,0.0386456232388178,0.00772305401764125
"Northern Raccoon",0.659033753058301,0.580560611042768,0.218982209837229,0.687984623557465,0.804053415245583,0.357102895996895,0.461821611156952,0.91001945764713,0.543463253402427,0.545562294331796,0.599777496204518,0.591012868544527,0.478814545919093,0.492428523347772,0.142509187151191,0.113987925399901
"Ocelot",0.45156505198864,0.574433882003463,0.146528625644756,0.600627140792396,0.528768631274023,0.469456166910207,0.387905791722215,0.542613391199787,0.720932637931774,0.353122295046721,0.376819128689295,0.322972094653373,0.2760016147686,0.319001335976551,0.0977473706411167,0.0426710555884636
"Oncilla",0.693633148969727,0.444397487867712,0.313347016150926,0.601427012175357,0.541712551201982,0.280314827458433,0.429162361509743,0.540426983301163,0.370030835596237,0.816543719623525,0.52668901683379,0.572773047500462,0.527774346708434,0.497640886568111,0.260838464938411,0.189198834645142
"Paca",0.607734747150947,0.426522622108942,0.152486857933481,0.624103580540902,0.698399444651729,0.252015814844449,0.654633739253463,0.600986572054536,0.371647157168925,0.524451131971506,0.924956577976931,0.453662737321481,0.387574987176281,0.637062304421201,0.0527879104923592,0.0495862559457023
"Puma",0.612554038165508,0.374444652887467,0.451463399496021,0.555769183830104,0.537349221965018,0.249481066924411,0.31337219497942,0.594337461469331,0.323745073672197,0.572721778382811,0.455907554154624,0.891406078769967,0.588230825475125,0.38309763814543,0.405565181776403,0.343947403301488
"Red Brocket Deer",0.603727842446837,0.350902829405211,0.479353403839824,0.502050776376691,0.433166790956863,0.1801283589696,0.311627084718155,0.479262577314907,0.27431514014703,0.529889149511295,0.387907790773602,0.588370819546089,0.863911070949993,0.382376236333411,0.476763701001313,0.403522524299187
"Striped Hognosed Skunk",0.519572275689554,0.415624604971348,0.133360446655079,0.470907099376195,0.580775283798696,0.172620755107013,0.575531399465605,0.497221024931539,0.329052056735689,0.498286684477294,0.634859523916006,0.383813328046446,0.382814927980381,0.715421373672342,0.0913272540235175,0.033862639354051
"Tayra",0.273052348618137,0.117692481608246,0.408991771872427,0.201838718707877,0.0787090631324577,0.0549203219936465,0.0318851339394333,0.138621247712551,0.0958447621463433,0.263233891882719,0.0445157767914243,0.405993282674938,0.470440285833095,0.0897749127403503,0.735855345455774,0.376178465158425
"White-nosed Coati",0.231839446045886,0.0474817691496003,0.724459457260766,0.206756856305016,0.0778889583217608,0.0527599758381107,0.00848531046212182,0.112815783283714,0.03926260740812,0.188056493340321,0.0497578560067215,0.341549782898012,0.397869245058387,0.0315452265755269,0.37424320759333,0.896867533820889
