"Bairds Tapir","Cacomistle","Collared Peccary","Coyote","Dices Cottontail","Mexican Hairy Porcupine","Nine-banded Armadillo","Northern Raccoon","Ocelot","Oncilla","Paca","Puma","Red Brocket Deer","Striped Hognosed Skunk","Tayra","White-nosed Coati"
"Bairds Tapir",1,0.810054174521744,0.461953383389994,0.819499195921682,0.767205168409895,0.570992635772007,0.707419632000649,0.773336591246628,0.698573360188912,0.860016355495794,0.721791206092366,0.739328305249844,0.754297299894073,0.744630805953981,0.533087532845684,0.349146539881281
"Cacomistle",0.810054174521744,1,0.345604794521871,0.892831693665243,0.856877396782357,0.682749283789442,0.74936164335845,0.843331937381775,0.885782293047818,0.739980017939645,0.718938819241177,0.634653354341027,0.61055181246027,0.73407994807085,0.397102878192452,0.221502376191186
"Collared Peccary",0.461953383389994,0.345604794521871,1,0.412664827454336,0.270821821146317,0.283953292734232,0.227346652083217,0.31977502313164,0.325704754582436,0.489840288284627,0.23624101984547,0.589407198430389,0.635011440291247,0.279226685802187,0.660113775561347,0.827347463484789
"Coyote",0.819499195921682,0.892831693665243,0.412664827454336,1,0.787771328853906,0.662932910116554,0.727661123126079,0.781736199922925,0.831100616693427,0.7773069316567,0.704884143344215,0.679823517356755,0.642727145433194,0.682946469494628,0.454509339406971,0.286333199859154
"Dices Cottontail",0.767205168409895,0.856877396782357,0.270821821146317,0.787771328853906,1,0.578915159998894,0.792136207749487,0.895110188473722,0.771946652013534,0.713282086979052,0.801291622991518,0.658438997115078,0.581970848200333,0.80936592429895,0.349824835662804,0.157689571465961
"Mexican Hairy Porcupine",0.570992635772007,0.682749283789442,0.283953292734232,0.662932910116554,0.578915159998894,1,0.502386553453797,0.591707392019312,0.762413961569254,0.53640830835721,0.488087874228491,0.458041401884805,0.399647291124527,0.452601074917819,0.291026678445017,0.182105323926174
"Nine-banded Armadillo",0.707419632000649,0.74936164335845,0.227346652083217,0.727661123126079,0.792136207749487,0.502386553453797,1,0.692657638311566,0.703040726233206,0.66917070913136,0.875656128889824,0.521478715411399,0.508360411937293,0.851343856858719,0.300214363034605,0.117512487411918
"Northern Raccoon",0.773336591246628,0.843331937381775,0.31977502313164,0.781736199922925,0.895110188473722,0.591707392019312,0.692657638311566,1,0.772277008240043,0.718395736266099,0.717189881099728,0.717105026208248,0.620697474234497,0.735143220113415,0.401181330456767,0.207109807941569
"Ocelot",0.698573360188912,0.885782293047818,0.325704754582436,0.831100616693427,0.771946652013534,0.762413961569254,0.703040726233206,0.772277008240043,1,0.633648453078112,0.634953588013515,0.550265600380449,0.510224488737495,0.63438065865244,0.365201019335728,0.200982538410179
"Oncilla",0.860016355495794,0.739980017939645,0.489840288284627,0.7773069316567,0.713282086979052,0.53640830835721,0.66917070913136,0.718395736266099,0.633648453078112,1,0.711103731738967,0.749374445982036,0.718574389213309,0.746238652446477,0.537185674209902,0.363433554369794
"Paca",0.721791206092366,0.718938819241177,0.23624101984547,0.704884143344215,0.801291622991518,0.488087874228491,0.875656128889824,0.717189881099728,0.634953588013515,0.711103731738967,1,0.576886688421173,0.544278055204836,0.865681131917949,0.315755640301573,0.123605862063886
"Puma",0.739328305249844,0.634653354341027,0.589407198430389,0.679823517356755,0.658438997115078,0.458041401884805,0.521478715411399,0.717105026208248,0.550265600380449,0.749374445982036,0.576886688421173,1,0.728443893099149,0.609974860902956,0.659379696428519,0.481622591686839
"Red Brocket Deer",0.754297299894073,0.61055181246027,0.635011440291247,0.642727145433194,0.581970848200333,0.399647291124527,0.508360411937293,0.620697474234497,0.510224488737495,0.718574389213309,0.544278055204836,0.728443893099149,1,0.603219717029031,0.731181134124469,0.558785463952124
"Striped Hognosed Skunk",0.744630805953981,0.73407994807085,0.279226685802187,0.682946469494628,0.80936592429895,0.452601074917819,0.851343856858719,0.735143220113415,0.63438065865244,0.746238652446477,0.865681131917949,0.609974860902956,0.603219717029031,1,0.371040530021722,0.168309481125003
"Tayra",0.533087532845684,0.397102878192452,0.660113775561347,0.454509339406971,0.349824835662804,0.291026678445017,0.300214363034605,0.401181330456767,0.365201019335728,0.537185674209902,0.315755640301573,0.659379696428519,0.731181134124469,0.371040530021722,1,0.62787398749154
"White-nosed Coati",0.349146539881281,0.221502376191186,0.827347463484789,0.286333199859154,0.157689571465961,0.182105323926174,0.117512487411918,0.207109807941569,0.200982538410179,0.363433554369794,0.123605862063886,0.481622591686839,0.558785463952124,0.168309481125003,0.62787398749154,1
