"Bairds Tapir","Cacomistle","Collared Peccary","Coyote","Dices Cottontail","Mexican Hairy Porcupine","Nine-banded Armadillo","Northern Raccoon","Ocelot","Oncilla","Paca","Puma","Red Brocket Deer","Striped Hognosed Skunk","Tayra","White-nosed Coati"
"Bairds Tapir",1.07700529949282,1.02494655304948,0.583187295623583,0.91109858367258,0.85684322644763,0.796616062123976,0.880300933163768,0.875997198634828,0.910720272070536,0.989699746888242,0.828251967169863,0.857081944682982,0.885617114699049,0.928935617887815,0.781443864721061,0.470914951952281
"Cacomistle",1.02663192810663,1.2520334488886,0.559254027319942,1.09490628599968,1.05372009964251,0.942390801768161,1.00303877892942,1.0318591138006,1.1254935679663,0.976045713631938,0.961787992340089,0.856132565331538,0.846907511600412,0.997553575563699,0.699485734339351,0.438599786015342
"Collared Peccary",0.580368481568577,0.560136067930738,1.06565132000003,0.501699766563895,0.362288000609884,0.443861853631862,0.376864314795186,0.423232384144776,0.51912768839782,0.670882538823923,0.326738108872966,0.728525886508758,0.785052106337971,0.438635366797598,0.887035507198867,0.917651466463827
"Coyote",0.908289237212695,1.09261101374078,0.500565482297745,1.0243148604455,0.846422485792514,0.862167559915804,0.898353157661485,0.865189897903564,1.00690457785982,0.927869139467599,0.777304416652741,0.796458392995223,0.774770000293098,0.867163388021083,0.709555301389602,0.369632866337895
"Dices Cottontail",0.856654449443002,1.05580563441887,0.364128925641477,0.845642635644244,1.05347489585828,0.796308361684651,0.944261632717523,0.968926159971409,0.964524472088784,0.859612448813579,0.893995421376548,0.773456575923093,0.718255278757239,0.971736067523779,0.619233942105052,0.247655438890448
"Mexican Hairy Porcupine",0.793969536495269,0.941182531895491,0.440150982412287,0.860831885248073,0.792030541013354,1.16791965065029,0.777197284867406,0.791137925483389,0.978027339460403,0.778952733312452,0.715174216767256,0.667304858263361,0.614907716207225,0.723655389272878,0.561696291287915,0.330953997549765
"Nine-banded Armadillo",0.881146596817184,1.00038215125977,0.370340003105649,0.895454213095977,0.945306884416015,0.769694774452214,1.18283427892822,0.865144618433477,0.94882964412716,0.876219086645657,1.02706165452197,0.712917716031131,0.699499677940133,1.05451338553428,0.588235565475451,0.256753454886394
"Northern Raccoon",0.874817353446172,1.03308266244145,0.425086351643239,0.865919813205696,0.970720310533691,0.793942558173766,0.865962801203553,1.06794741627706,0.953160102722026,0.867275468124991,0.827645264735866,0.831921732037788,0.756594673248532,0.914054711846701,0.6605746723452,0.312039501410554
"Ocelot",0.907914962538109,1.12314122073962,0.51836730469308,1.00520587192826,0.96332870639176,0.979918437826078,0.949247768881852,0.94999728266446,1.20878877128203,0.872238233680921,0.871688491846544,0.76546103051121,0.735953273639388,0.905862226930418,0.655087196233369,0.386566766187275
"Oncilla",0.992001751181326,0.972487190515115,0.669325285340299,0.930276100940483,0.862313745746002,0.778866349003131,0.874624619199319,0.867668424450688,0.870432592763901,1.14841106475022,0.873506385896855,0.900522939915187,0.883397122712435,0.948179392199217,0.796235340319975,0.54827655454909
"Paca",0.828855308452315,0.960756028938369,0.32496731721429,0.776998280869888,0.894206101007091,0.713329252130854,1.02478878928741,0.827176424659246,0.869374468566941,0.877670032804022,1.05347413094222,0.69601655498446,0.69569759740447,1.02162907795648,0.5978527987446,0.20595017207485
"Puma",0.855473224150095,0.85909234965345,0.729077844825724,0.798079632014571,0.77588003872469,0.67521886220927,0.711979586918408,0.834245814141567,0.771538213416467,0.897826741276712,0.699536459667982,1.08559935863691,0.852251736178368,0.800362412709919,0.882703843940786,0.621256461065645
"Red Brocket Deer",0.885837412109585,0.84742230092984,0.790076706316797,0.771134592951,0.719458122901308,0.617125974040334,0.695985671230809,0.755829836920263,0.731440356013231,0.881345907611494,0.693554638233277,0.851388648225477,1.10779127247894,0.800766495875235,0.950389487540064,0.714408553888903
"Striped Hognosed Skunk",0.92908720065154,0.995409624708021,0.437086765636781,0.8645273615174,0.971779679302264,0.725586799769934,1.05552125659373,0.913753662437018,0.906898196978772,0.948362733690354,1.02080069925624,0.797238260692943,0.798593784748268,1.20225518187909,0.664438270344451,0.326708697420146
"Tayra",0.788076321888906,0.698333516387826,0.88638242442017,0.714646683228339,0.625639234055319,0.565070490062709,0.5919665918575,0.666063553372154,0.654728009807724,0.802152966417377,0.598271286496517,0.890712643992039,0.948084945647944,0.663515473649543,1.22588884312778,0.858596954090306
"White-nosed Coati",0.468526429395531,0.440091261390415,0.918631710416486,0.373079842013825,0.245982919319194,0.332281768638086,0.26130370232579,0.309625638301134,0.391880984387052,0.550178591622583,0.203557900655368,0.62373304616069,0.714853321394813,0.330679666091285,0.867224167398154,1.07940347597216
